wavenumber[1/cm],cross section[cm^2]
850.0033,1.378e-20
850.013344114102,1.585e-20
850.0233882282041,1.695e-20
850.0334323423061,1.716e-20
850.0434764564081,1.538e-20
850.0535205705102,1.208e-20
850.0635646846123,1.116e-20
850.0736087987143,1.35e-20
850.0836529128163,1.489e-20
850.0936970269184,1.372e-20
850.1037411410205,1.298e-20
850.1137852551225,1.352e-20
850.1238293692246,1.436e-20
850.1338734833266,1.711e-20
850.1439175974286,2.069e-20
850.1539617115307,1.906e-20
850.1640058256328,1.34e-20
850.1740499397348,1.372e-20
850.1840940538368,2.042e-20
850.194138167939,2.199e-20
850.204182282041,1.672e-20
850.214226396143,1.493e-20
850.224270510245,1.822e-20
850.2343146243471,1.872e-20
850.2443587384491,1.589e-20
850.2544028525512,1.458e-20
850.2644469666533,1.433e-20
850.2744910807553,1.419e-20
850.2845351948573,1.6e-20
850.2945793089594,1.752e-20
850.3046234230615,1.57e-20
850.3146675371635,1.459e-20
850.3247116512655,1.743e-20
850.3347557653676,1.969e-20
850.3447998794696,1.856e-20
850.3548439935716,1.696e-20
850.3648881076738,1.584e-20
850.3749322217758,1.448e-20
850.3849763358778,1.49e-20
850.3950204499798,1.717e-20
850.405064564082,1.797e-20
850.415108678184,1.65e-20
850.425152792286,1.413e-20
850.4351969063881,1.178e-20
850.4452410204901,1.264e-20
850.4552851345921,1.784e-20
850.4653292486943,2.059e-20
850.4753733627963,1.705e-20
850.4854174768983,1.433e-20
850.4954615910003,1.667e-20
850.5055057051025,1.804e-20
850.5155498192045,1.603e-20
850.5255939333065,1.559e-20
850.5356380474086,1.726e-20
850.5456821615106,1.805e-20
850.5557262756126,1.93e-20
850.5657703897147,2.153e-20
850.5758145038168,2.073e-20
850.5858586179188,1.677e-20
850.5959027320208,1.499e-20
850.605946846123,1.715e-20
850.615990960225,1.918e-20
850.626035074327,1.738e-20
850.6360791884291,1.315e-20
850.6461233025311,1.203e-20
850.6561674166331,1.622e-20
850.6662115307352,1.986e-20
850.6762556448373,1.815e-20
850.6862997589393,1.542e-20
850.6963438730413,1.569e-20
850.7063879871434,1.592e-20
850.7164321012455,1.518e-20
850.7264762153475,1.658e-20
850.7365203294495,1.768e-20
850.7465644435516,1.476e-20
850.7566085576536,1.281e-20
850.7666526717557,1.632e-20
850.7766967858578,1.949e-20
850.7867408999598,1.746e-20
850.7967850140618,1.454e-20
850.8068291281639,1.438e-20
850.816873242266,1.523e-20
850.826917356368,1.616e-20
850.83696147047,1.745e-20
850.8470055845721,1.772e-20
850.8570496986741,1.692e-20
850.8670938127761,1.677e-20
850.8771379268783,1.741e-20
850.8871820409803,1.799e-20
850.8972261550823,1.754e-20
850.9072702691843,1.481e-20
850.9173143832865,1.215e-20
850.9273584973885,1.47e-20
850.9374026114905,2.039e-20
850.9474467255926,2.11e-20
850.9574908396946,1.702e-20
850.9675349537966,1.606e-20
850.9775790678988,1.887e-20
850.9876231820008,1.945e-20
850.9976672961028,1.74e-20
851.0077114102048,1.613e-20
851.017755524307,1.537e-20
851.027799638409,1.503e-20
851.037843752511,1.738e-20
851.0478878666131,2.05e-20
851.0579319807151,1.969e-20
851.0679760948171,1.597e-20
851.0780202089193,1.429e-20
851.0880643230213,1.602e-20
851.0981084371233,1.87e-20
851.1081525512253,1.948e-20
851.1181966653274,1.748e-20
851.1282407794295,1.59e-20
851.1382848935315,1.8e-20
851.1483290076336,2.057e-20
851.1583731217356,1.935e-20
851.1684172358376,1.721e-20
851.1784613499397,1.75e-20
851.1885054640418,1.757e-20
851.1985495781438,1.712e-20
851.2085936922458,2.002e-20
851.2186378063479,2.277e-20
851.22868192045,1.868e-20
851.238726034552,1.339e-20
851.2487701486541,1.644e-20
851.2588142627561,2.234e-20
851.2688583768581,2.055e-20
851.2789024909601,1.494e-20
851.2889466050623,1.459e-20
851.2989907191643,1.732e-20
851.3090348332663,1.75e-20
851.3190789473684,1.669e-20
851.3291230614705,1.667e-20
851.3391671755725,1.499e-20
