wavenumber (1/cm),cross section (cm^2)
9405.000,0.000E+00
9406.000,0.000E+00
9407.000,9.666E-25
9408.000,1.018E-24
9409.000,1.069E-24
9410.000,1.120E-24
9411.000,1.171E-24
9412.000,1.222E-24
9413.000,1.273E-24
9414.000,1.248E-24
9415.000,1.223E-24
9416.000,1.198E-24
9417.000,1.173E-24
9418.000,1.148E-24
9419.000,1.123E-24
9420.000,1.098E-24
9421.000,1.173E-24
9422.000,1.247E-24
9423.000,1.322E-24
9424.000,1.396E-24
9425.000,1.471E-24
9426.000,1.545E-24
9427.000,1.620E-24
9428.000,1.588E-24
9429.000,1.556E-24
9430.000,1.524E-24
9431.000,1.492E-24
9432.000,1.460E-24
9433.000,1.428E-24
9434.000,1.396E-24
9435.000,1.363E-24
9436.000,1.329E-24
9437.000,1.296E-24
9438.000,1.263E-24
9439.000,1.230E-24
9440.000,1.196E-24
9441.000,1.163E-24
9442.000,1.183E-24
9443.000,1.203E-24
9444.000,1.223E-24
9445.000,1.242E-24
9446.000,1.262E-24
9447.000,1.282E-24
9448.000,1.302E-24
9449.000,1.305E-24
9450.000,1.308E-24
9451.000,1.311E-24
9452.000,1.314E-24
9453.000,1.317E-24
9454.000,1.320E-24
9455.000,1.323E-24
9456.000,1.326E-24
9457.000,1.330E-24
9458.000,1.333E-24
9459.000,1.337E-24
9460.000,1.340E-24
9461.000,1.344E-24
9462.000,1.347E-24
9463.000,1.399E-24
9464.000,1.450E-24
9465.000,1.502E-24
9466.000,1.553E-24
9467.000,1.605E-24
9468.000,1.656E-24
9469.000,1.708E-24
9470.000,1.741E-24
9471.000,1.774E-24
9472.000,1.807E-24
9473.000,1.840E-24
9474.000,1.873E-24
9475.000,1.906E-24
9476.000,1.939E-24
9477.000,1.976E-24
9478.000,2.012E-24
9479.000,2.049E-24
9480.000,2.085E-24
9481.000,2.122E-24
9482.000,2.158E-24
9483.000,2.195E-24
9484.000,2.191E-24
9485.000,2.187E-24
9486.000,2.183E-24
9487.000,2.179E-24
9488.000,2.175E-24
9489.000,2.171E-24
9490.000,2.167E-24
9491.000,2.212E-24
9492.000,2.258E-24
9493.000,2.303E-24
9494.000,2.348E-24
9495.000,2.393E-24
9496.000,2.439E-24
9497.000,2.484E-24
9498.000,2.503E-24
9499.000,2.522E-24
9500.000,2.541E-24
9501.000,2.560E-24
9502.000,2.579E-24
9503.000,2.598E-24
9504.000,2.878E-24
9505.000,3.158E-24
9506.000,3.322E-24
